"Episode ID","Show Name","Full Date","Title","Description","Partisan Leaning","Category on Apple","Entered Dataset","Audio URL"
"4384","Bill O'Reilly's No Spin News and Analysis","2019-06-20","iran conflict escalating; homelessness in los angeles is out of hand","- iran shoots down u.s. drone—president trump reacts with the world watching. - the largest state in the nation is in big trouble and the citizens of los angeles know it as they conduct recall effort against l.a. mayor due to the major homelessness crisis. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4331474234.mp3"
"4385","Bill O'Reilly's No Spin News and Analysis","2019-06-20","the o'reilly update, june 20, 2019","iran shoots down a us drone over the strait of hormuz, president trump raises more than 24-million-dollars in the first 24 hours of his 2020 campaign, cory booker says racial reparations for slavery are “urgently needed” in america, health officials in the dominican republic say the mysterious deaths plaguing the island are ‘fake news’, the us stock market braces for next week’s pivotal g-20 summit in japan. plus, bill's message of the day: big trouble in california. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV9887807271.mp3"
"4386","Bill O'Reilly's No Spin News and Analysis","2019-06-19","analyzing trump’s orlando speech; bernie sander's response to trump","- analyzing president trump’s reelection campaign speech – the pros and cons and what president trump’s new theme for the 2020 campaign. - does senator sanders' speech in response to president trump hold any substance?  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV5932781977.mp3"
"4387","Bill O'Reilly's No Spin News and Analysis","2019-06-19","the o'reilly update, june 19, 2019","president trump delivers the first major address of his 2020 re-election campaign in orlando, joe biden pledges to raise taxes should he win the white house, congress holds its first hearings on slavery reparations in decades, the us airline industry is making big bucks off of your luggage, and new details emerge on the botched assassination plot to kill red sox legend david ortiz. plus, bill's message of the day on the new campaign theme trump unveiled during his rally last night. bill also offers his comments on alexandria ocasio-cortez' comparison of migrant detention centers to nazi concentration camps. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV7487336646.mp3"
"4388","Bill O'Reilly's No Spin News and Analysis","2019-06-18","radical left ideas driving the 20+ dem candidates; interview with bernard whitman","- how far can the left go before america says they've had enough? - polls on the 2020 campaign—bogus or valid? founder and ceo of whitman insight strategies llc bernard whitman breaks down the early polling. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV1692889831.mp3"
"4389","Bill O'Reilly's No Spin News and Analysis","2019-06-18","the o'reilly update, june 18, 2019","president trump officially kicks-off his 2020 re-election campaign in orlando, an ohio jury awards millions of dollars to a local bakery after a phony racial profiling scandal, a new study from colorado highlights legal marijuana’s harmful effect on america’s teens, iran tells the world it will likely violate the international nuclear agreement next week. plus, bill's message of the day, trump's 4 point plan to win the 2020 election. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV6857849788.mp3"
"4390","Bill O'Reilly's No Spin News and Analysis","2019-06-17","trump officially starts his campaign; what will happen between america and iran in the wake of the gulf of oman incident?","- the 2020 campaign has been in full-swing for the democratic candidates for quite a while. now it is president trump's turn to hit the campaign trail. - will tensions continue to rise between america and iran after secretary of state mike pompeo claims the attack in the gulf of oman was committed by the iranian government?  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV7108885503.mp3"
"4391","Bill O'Reilly's No Spin News and Analysis","2019-06-17","the o'reilly update, june 17, 2019","president trump will officially unveil his 2020 campaign this week, the united kingdom and united states send additional troops to the middle east to counter iran’s growing threat, a record number of african migrants are crossing the us-mexico border, alexandria ocasio-cortez sounds-off against speaker pelosi, french priest’s wear hard-hats during notre dame cathedral’s first mass following the devastating fire. plus, bill's message of the day, should the u.s. government pay reparations to african americans? learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4984403320.mp3"
"4392","Bill O'Reilly's No Spin News and Analysis","2019-06-14","the o'reilly update, june 14, 2019","on today's o'reilly update: where do the democratic candidates stand on illegal immigration? plus, bill's message of the day, why doesn't america have a strong third party? learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV1968705513.mp3"
"4393","Bill O'Reilly's No Spin News and Analysis","2019-06-13","trump’s ‘foreign agent’ comment; cable news ratings are plummeting","- in an interview with abc trump says he would listen to foreign agents if they offered dirt on an opponent—of course abc makes this out to be much worse than the president intended. - cable news is doing awful- will it ever have a rise in the ratings again?  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV9977623548.mp3"
"4394","Bill O'Reilly's No Spin News and Analysis","2019-06-13","the o'reilly update, june 13, 2019","the fatal shooting of a suspected criminal sparks major clashes between police and residents in memphis, federal spending sets a new record at 3 trillion dollars so far this year, mexico deploys their troops to the border to avoid trump’s tariffs, the governor of illinois declares abortion a “fundamental right”, los angeles international airport is officially declared the ‘worst airport in the world’.  plus, bill's message of the day on team usa's 13-0 victory over thailand at the women's world cup. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4702801083.mp3"
"4395","Bill O'Reilly's No Spin News and Analysis","2019-06-12","kirsten gillibrand makes ridiculous statement comparing pro-life people to racists & anti-semites; plus, did the u.s women's soccer team go to far?","- kirsten gillibrand compares anti-abortion judges to racists and anti-semites. - united states women's soccer team handles their victory with no class.  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4664229333.mp3"
"4396","Bill O'Reilly's No Spin News and Analysis","2019-06-12","the o'reilly update, june 12, 2019","joe biden makes one of the biggest campaign promises in modern history, bernie sanders says no-one can avoid his new healthcare plan, a christian baker in colorado now faces a third lawsuit for so-called ‘discrimination’, the fbi descends on the dominican republican after the mysterious deaths of american tourists, jon stewart eviscerates congress for failing to support 9/11 first responders. plus, bill's message of the day on jon stewart's emotional testimony on capitol hill. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV1844430689.mp3"
"4397","Bill O'Reilly's No Spin News and Analysis","2019-06-11","trump vs. biden in iowa; jon stewart on capital hill","the showdown in iowa as both president trump and democratic frontrunner joe biden visit the state. former ‘daily show’ host, jon stewart, is in washington d.c. fighting for the noble cause of protecting the first responders from september 11th.             learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV5466194877.mp3?updated=1560289029"
"4398","Bill O'Reilly's No Spin News and Analysis","2019-06-11","the o'reilly update, june 11, 2019","joe biden ignores his democratic challengers and goes straight after president trump in iowa, controversial legislation in new york could legalize prostitution throughout the state, california votes to extent major healthcare benefits to illegal immigrants, house democrats give-up their attempt to hold the attorney general in contempt, the supreme court upholds the traditional american motto featured on nearly all our currency. plus, bill's message of the day on life and death. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV5534920229.mp3"
"4399","Bill O'Reilly's No Spin News and Analysis","2019-06-10","mexico tariff deal reached; democratic candidates gear up for iowa","· mexico and the united states have reached a deal but the criticism of president trump hasn’t stopped. · nearly two dozen 2020 democratic contenders invade iowa—except one key candidate was missing. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4455715325.mp3"
"4400","Bill O'Reilly's No Spin News and Analysis","2019-06-10","the o'reilly update, june 10, 2019","senator schumer mocks president trump’s latest deal with mexico, youtube’s new censorship policy already causing problems for the nation’s top universities, a far-left college is ordered to pay out millions to a local bakery following a racial profiling scandal, alexandria ocasio-cortez wants to spend your taxpayer dollars to study psychedelic drugs… nearly two-dozen 2020 democrats take-over iowa. plus, bill's message of the day on trump's deal with mexico to protect the border. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV8588211481.mp3"
"4401","Bill O'Reilly's No Spin News and Analysis","2019-06-07","the o'reilly update, june 7, 2019","the o'reilly update looks at the issue of censorship on youtube. plus, bill's message of the day on hypocrisy in the mueller probe. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4926108796.mp3"
"4402","Bill O'Reilly's No Spin News and Analysis","2019-06-06","world leaders gather for d-day anniversary; plus, a washington state district attorney declines to abide by the states new sanctuary status","- world leaders gather for d-day commemoration in normandy, france – macron said something interesting. - a washington state sheriff stands up against what he believes to be a ridiculous state-wide immigration plan.  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV6434970976.mp3"
"4403","Bill O'Reilly's No Spin News and Analysis","2019-06-06","the o'reilly update, june 6, 2019","a new poll shows americans are now more concerned with ‘fake news’ than terrorism,  adults are increasingly ditching the television for their mobile devices, a washington sheriff thinks the governor should be arrested for his latest sanctuary law, talks between the us and mexico stall as trump’s deadline approaches, world leaders gather in france to mark the 75th anniversary of the allied invasion of europe. plus, bill's message of the day: could today's young americans have defeated the nazis at normandy? learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV2916355766.mp3"
"4404","Bill O'Reilly's No Spin News and Analysis","2019-06-05","president trump in london for d-day commemoration; plus, is assisted suicide humane?","·    d-day commemoration in london—what the message to the rest of the world should be. ·    the state of maine gets one step closer to allowing assisted suicide. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV5268375641.mp3"
"4405","Bill O'Reilly's No Spin News and Analysis","2019-06-05","the o'reilly update, june 5, 2019","joe biden breaks with fellow democrats on a controversial abortion law, the state of maine is one step closer towards ‘legal suicide’, san francisco considers drastic options to combat the homeless crisis, a broward county deputy is charged with multiple felonies for ‘failing to act’ during the parkland shooting, and president trump dives head-first into british politics during his trip to london. plus, bill's message of the day on bernie sanders accusing politico of anti-semitism. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4200383230.mp3"
"4406","Bill O'Reilly's No Spin News and Analysis","2019-06-04","house judiciary committee wasting taxpayer money; plus, is dodgeball youth imperialism?","- the house judiciary committee prepares to call watergate witness john dean to testify on mueller report—for what reason, jerrold nadler? - canada to rid dodgeball from it's schools on the grounds of it influencing young children to be imperialists.  learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV3718436823.mp3?updated=1559683123"
"4407","Bill O'Reilly's No Spin News and Analysis","2019-06-04","the o'reilly update, june 4, 2019","president trump meets queen elizabeth ii during his first state visit to the uk, the number of americans working into their 70s skyrockets, joe biden unveils his own plan to combat climate change, chicago sees another weekend of record-breaking violence, the city of los angeles is now the ‘rat capital’ of america. also, bill's message of the day on the solution to california's homeless problem. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV1008651511.mp3"
"4408","Bill O'Reilly's No Spin News and Analysis","2019-06-03","will tariffs pressure mexico into a clear border solution? plus - los angeles now a ‘giant trash receptacle’","- explaining the mexico-tariff situation—what are the unintended consequences?- the la times is reporting that the city is being taken over by bacteria infestations and other unsanitary conditions—it seems to be following suit of other far-left cities. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV4541320323.mp3"
"4409","Bill O'Reilly's No Spin News and Analysis","2019-06-03","the o'reilly update, june 3, 2019","a mass shooting in virginia beach, president trump heads to the united kingdom, legendary singer elton john bashes brexit, immigration chaos continues at the border, ben and jerry’s ice cream is poised to release a controversial new flavor. plus, bill's message of the day on yet another false news report about president trump. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://pdst.fm/e/chtbl.com/track/384D27/mgln.ai/track/traffic.megaphone.fm/RSV2424947871.mp3"
"5236","Bret Weinstein | DarkHorse Podcast","2019-06-30","benjamin boyce - bret weinstein's darkhorse podcast #2","bret weinstein sits down with evergreen graduate, benjamin boyce to discuss the evergreen state college, project varitas, big tech influence, machine learning, ai, and the artificial shaping of cultural ideas. follow benjamin on twitter &amp; youtube: https://twitter.com/benjaminaboyce https://www.youtube.com/c/benjaminaboyce find and help support this work below: patreon: https://www.patreon.com/bretweinstein/ twitter: @bretweinstein https://twitter.com/bretweinstein support is also welcome via paypal: https://paypal.me/bretweinstein support the show","More Conservative","Science","Apple Top 100","https://pdcn.co/e/www.buzzsprout.com/424075/2297744-benjamin-boyce-bret-weinstein-s-darkhorse-podcast-2.mp3"
"6916","Conservative Review with Daniel Horowitz","2019-06-28","ep 442 | md sheriff: many central americans coming already have criminal record","today, we are joined by one of the leading sheriffs working to ensure that criminal aliens are not released onto our streets. sheriff chuck jenkins of frederick county, maryland, explains how easy it is to ensure that criminal aliens are not put back on the streets. as a result of his efforts, 1,570 criminal aliens were removed, including 106 gang members.  that is a heck of a lot of innocent people who were saved, but you will never see that in the media.   finally, he discusses the insane case of an illegal alien being allowed to sue him and remain in the country to have more american-born kids on the taxpayer’s dime.   show links  sanctuary cities become hubs for drugs and gangs  trump must channel lincoln on the courts  dc suburbs, including frederick, becoming infested with ms-13    copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC6795681131.mp3"
"6917","Conservative Review with Daniel Horowitz","2019-06-27","ep 441 | conservatives got slaughtered this term at the supreme court","the situation in the courts is even worse than we thought. i give you a rundown of the grand finale at the supreme court to demonstrate once and for all why we will never have an originalist majority in an inherently unconstitutional game of judicial supremacy. we juxtapose the redistricting case to the census case to show that john roberts will be bad on everything that matters except for one rare circumstance.  show notes  my analysis of the two big cases today  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC9229766827.mp3"
"6918","Conservative Review with Daniel Horowitz","2019-06-26","ep 440 | being for sovereignty and security is the ultimate pro-life position","there is no other policy where we have 100 percent legal authority and logistical ability to weed out bad people who will harm others. that is why if you are not for sovereignty and immigration enforcement, you are not pro-life.  we discuss all of the latest cases of illegal aliens and deportable aliens killing americans and why that narrative is not getting out, yet the left succeeds in panting this all about the plight of illegal aliens.   show links  the true immorality at our border  7 americans who died because government refused to deport criminal alien  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC1487385037.mp3"
"6919","Conservative Review with Daniel Horowitz","2019-06-25","ep 439 | why iran is winning in the persian gulf and how to flip the tables","today, we get a special briefing on what is going on with iran in the persian gulf from retired col. dan steiner. he uses his 32 years of air force experience and time at centcom to give us a full picture about what is wrong with the administration’s policies and what we need to do is rectify it.    steiner explains how everything we are doing is helter-skelter and compromises our capabilities to go after iran in the future. ultimately, he believes we need to play chess with vladimir putin, who holds the keys to the soft-power approach with iran. also, he explains how we can create defensive rings using the navy and combat air patrol to deter iran and defend the shipping lanes. be prepared to learn more than you ever did about the fight with iran!  show links  how cyber command likely bungled the cyber attack on iran and wasted our silver bullet    follow col. steiner on twitter @coldan11 and visit his blog here  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC8833773660.mp3"
"6920","Conservative Review with Daniel Horowitz","2019-06-24","ep 438 | a jim crow against all american citizens","why do we live in an era of illegal alien supremacism? it seems that our media and politicians only care about the desires of foreign invaders and not the citizenry that is referred to in the declaration of independence.  next, we explain what happened with the scuttled ice operation and how this administration is filled with so many people with an open-border agenda. they are harming our cause by suggesting that we need legal changes, when in fact they refuse to enforce current law.  finally, we discuss yet another criminal case where gorsuch joins the left and creates a level of due process for criminals never intended by our founders.   show links   why is mcaleenan not fired for leaking ice operation?  american people care most about crime and fiscal cost of illegal immigration  u.s. v. davis armed violent criminal case  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC7249601398.mp3"
"6921","Conservative Review with Daniel Horowitz","2019-06-21","ep 437 | we are nowhere near a conservative majority at scotus","bookmark today’s show as one of your classics. today, i explain, once and for all, using several recent supreme court opinions, why the supreme court is nowhere close to having an originalist majority and why there is only one consistent originalist. kavanaugh and roberts are completely problematic.   i delve through three cases – the bladensburg cross case, a capital conviction case, and a criminal alien gun conviction case – to demonstrate why the supreme court is a one-way street and a dead end for conservatives. even if we had five clarence thomasas, we should never legitimize judicial supremacy. but we only have one. the result? we get the worst of everyone’s sensibilities and the left keeps winning, even when we win narrow defensive victories on a few cases in the supreme court out of the many they allow to stand in their unconstitutional status at lower courts.     show links  flowers v. mississippi  rehaif v. u.s.  bladensburg cross case    my take on bladensburg cross  my 2016 piece on roberts and overturning capital convictions on nonsensical grounds  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC1285890346.mp3"
"6922","Conservative Review with Daniel Horowitz","2019-06-20","ep 436 | the real humanitarian crisis is the danger of sanctuary cities","the problem of criminal aliens and sanctuary cities is worse than you think. today, i discuss the story of an illegal alien rapist harbored by washington state’s sanctuary policies who was let out after just nine months and went straight to the victim’s house and almost killed her. we are joined by bryan wilcox, acting director of ice's seattle field office, to discuss the details of this case and the general public safety concerns posed by sanctuary policies.    show links  the story of the illegal alien rapist in king county  why states have no right to thwart federal law enforcement  syrian refugee tried to blow up church. how many more public safety problems do we have from bad immigration policies?   congress funds illegal aliens but not ice  a bunch of terrible criminals released by oregon and washington  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC3382635006.mp3"
"6923","Conservative Review with Daniel Horowitz","2019-06-19","ep 435 | texas is funding more border enforcement than congress","jaeson jones, our resident border expert and former texas dps intel officer, joins to discuss his findings from his latest trip to the border. things are worse than ever. our agents are outgunned, outmanned, and outmaneuvered. texas officials are now sending more resources, while the feds do nothing but fund more care for illegal aliens but nothing to deal with the cartels.   meanwhile, some conservatives are celebrating passage of a “border funding” bill. this bill is the most orwellian definition of border security.    show links  this is the insanity the senate just passed  copyright blaze media all rights reserved. learn more about your ad choices. visit megaphone.fm/adchoices","More Conservative","News","Apple Recommendation","https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pfx.vpixl.com/4V6da/arttrk.com/p/BLZM1/chtbl.com/track/384GD8/verifi.podscribe.com/rss/p/traffic.megaphone.fm/BMDC6941365440.mp3"
